"","variable","value","QrtEstimate","Lower","Upper"
"120","Rep",-0.192948504956629,2,FALSE,FALSE
"121","Rep",-0.204256797829775,2,FALSE,FALSE
"122","Rep",-0.358160396280216,2,FALSE,FALSE
"123","Rep",-0.257567139599088,2,FALSE,FALSE
"124","Rep",-0.228559273788522,2,FALSE,FALSE
"125","Rep",-0.189697941339202,2,FALSE,FALSE
"126","Rep",-0.259255217504065,2,FALSE,FALSE
"127","Rep",-0.318517890932072,2,FALSE,FALSE
"128","Rep",-0.169127446218487,2,FALSE,FALSE
"129","Rep",-0.135335800869478,2,FALSE,FALSE
"130","Rep",-0.268376920999855,2,FALSE,FALSE
"131","Rep",-0.288049258002685,2,FALSE,FALSE
"133","Rep",-0.320894794441071,2,FALSE,FALSE
"134","Rep",-0.375291869640247,2,FALSE,FALSE
"135","Rep",-0.217858994353209,2,FALSE,FALSE
"136","Rep",-0.332300458004093,2,FALSE,FALSE
"137","Rep",-0.366043588597024,2,FALSE,FALSE
"138","Rep",-0.430136170509495,2,FALSE,FALSE
"139","Rep",-0.201266762975947,2,FALSE,FALSE
"140","Rep",-0.30147814920064,2,FALSE,FALSE
"141","Rep",-0.339807090130935,2,FALSE,FALSE
"142","Rep",-0.237857087049329,2,FALSE,FALSE
"143","Rep",-0.233208870442723,2,FALSE,FALSE
"144","Rep",-0.322036052261195,2,FALSE,FALSE
"145","Rep",-0.158284887396061,2,FALSE,FALSE
"146","Rep",-0.239913862923982,2,FALSE,FALSE
"148","Rep",-0.283608851743087,2,FALSE,FALSE
"149","Rep",-0.278127534576911,2,FALSE,FALSE
"150","Rep",-0.232796045150892,2,FALSE,FALSE
"151","Rep",-0.314543606706045,2,FALSE,FALSE
"152","Rep",-0.2850802574737,2,FALSE,FALSE
"153","Rep",-0.266969440406593,2,FALSE,FALSE
"154","Rep",-0.342695682121986,2,FALSE,FALSE
"155","Rep",-0.26160395189736,2,FALSE,FALSE
"156","Rep",-0.232742571200741,2,FALSE,FALSE
"157","Rep",-0.290164318003242,2,FALSE,FALSE
"158","Rep",-0.287223473746439,2,FALSE,FALSE
"159","Rep",-0.272791755912675,2,FALSE,FALSE
"160","Rep",-0.350373690576429,2,FALSE,FALSE
"161","Rep",-0.292579519675109,2,FALSE,FALSE
"162","Rep",-0.420237903363714,2,FALSE,FALSE
"163","Rep",-0.257374451683055,2,FALSE,FALSE
"164","Rep",-0.199056821859056,2,FALSE,FALSE
"165","Rep",-0.333815925957538,2,FALSE,FALSE
"166","Rep",-0.346563396791173,2,FALSE,FALSE
"167","Rep",-0.292972863011362,2,FALSE,FALSE
"168","Rep",-0.280086814058345,2,FALSE,FALSE
"169","Rep",-0.279937326611381,2,FALSE,FALSE
"170","Rep",-0.248454854125196,2,FALSE,FALSE
"171","Rep",-0.24363322389434,2,FALSE,FALSE
"172","Rep",-0.135677692858848,2,FALSE,FALSE
"173","Rep",-0.19870366479994,2,FALSE,FALSE
"174","Rep",-0.29661109955947,2,FALSE,FALSE
"175","Rep",-0.306807630082528,2,FALSE,FALSE
"177","Rep",-0.224930817435713,2,FALSE,FALSE
"178","Rep",-0.318442465257391,2,FALSE,FALSE
"179","Rep",-0.147674584171355,2,FALSE,FALSE
"180","Rep",-0.209657829636734,2,FALSE,FALSE
"181","Rep",-0.338408884277612,2,FALSE,FALSE
"182","Rep",-0.248248956793459,2,FALSE,FALSE
"183","Rep",-0.357241099238176,2,FALSE,FALSE
"184","Rep",-0.217951538649287,2,FALSE,FALSE
"185","Rep",-0.251759692706042,2,FALSE,FALSE
"186","Rep",-0.298526571108631,2,FALSE,FALSE
"187","Rep",-0.270081091273109,2,FALSE,FALSE
"188","Rep",-0.190810462049901,2,FALSE,FALSE
"189","Rep",-0.27894596768718,2,FALSE,FALSE
"190","Rep",-0.35218302957825,2,FALSE,FALSE
"191","Rep",-0.350888109381103,2,FALSE,FALSE
"193","Rep",-0.390989535879055,2,FALSE,FALSE
"194","Rep",-0.315759612124969,2,FALSE,FALSE
"195","Rep",-0.163589114205803,2,FALSE,FALSE
"196","Rep",-0.294790090372767,2,FALSE,FALSE
"197","Rep",-0.362510517389137,2,FALSE,FALSE
"198","Rep",-0.219755062060927,2,FALSE,FALSE
"199","Rep",-0.247303152676191,2,FALSE,FALSE
"200","Rep",-0.145336365808863,2,FALSE,FALSE
"201","Rep",-0.287081372764174,2,FALSE,FALSE
"202","Rep",-0.186687715275165,2,FALSE,FALSE
"203","Rep",-0.170706012132614,2,FALSE,FALSE
"204","Rep",-0.228661213247719,2,FALSE,FALSE
"205","Rep",-0.350183526848391,2,FALSE,FALSE
"206","Rep",-0.254634288175751,2,FALSE,FALSE
"207","Rep",-0.211778667352323,2,FALSE,FALSE
"208","Rep",-0.258907541272395,2,FALSE,FALSE
"209","Rep",-0.369741770652642,2,FALSE,FALSE
"210","Rep",-0.273436251173716,2,FALSE,FALSE
"211","Rep",-0.211943754626184,2,FALSE,FALSE
"212","Rep",-0.240691567405718,2,FALSE,FALSE
"213","Rep",-0.386345129672393,2,FALSE,FALSE
"214","Rep",-0.265289803785973,2,FALSE,FALSE
"215","Rep",-0.278887795047278,2,FALSE,FALSE
"216","Rep",-0.206594179265386,2,FALSE,FALSE
"217","Rep",-0.232327250432365,2,FALSE,FALSE
"218","Rep",-0.164457532672545,2,FALSE,FALSE
"219","Rep",-0.391062958461038,2,FALSE,FALSE
"220","Rep",-0.131097734625609,2,FALSE,FALSE
"221","Rep",-0.196596611337,2,FALSE,FALSE
"222","Rep",-0.332582584380216,2,FALSE,FALSE
"223","Rep",-0.326757817930414,2,FALSE,FALSE
"224","Rep",-0.407102249936657,2,FALSE,FALSE
"225","Rep",-0.192555270911507,2,FALSE,FALSE
"226","Rep",-0.331344926950769,2,FALSE,FALSE
"227","Rep",-0.295875071386315,2,FALSE,FALSE
"228","Rep",-0.323452947418449,2,FALSE,FALSE
"229","Rep",-0.280696933319997,2,FALSE,FALSE
"230","Rep",-0.214283596294014,2,FALSE,FALSE
"231","Rep",-0.264597972523335,2,FALSE,FALSE
"232","Rep",-0.222819116180572,2,FALSE,FALSE
"233","Rep",-0.311356546442374,2,FALSE,FALSE
"234","Rep",-0.316130415009606,2,FALSE,FALSE
"235","Rep",-0.205106459886673,2,FALSE,FALSE
"236","Rep",-0.30488717638716,2,FALSE,FALSE
"237","Rep",-0.222029724485696,2,FALSE,FALSE
"238","Rep",-0.169330860526074,2,FALSE,FALSE
"240","Rep",-0.309755842685261,2,FALSE,FALSE
"241","Rep",-0.264031840137981,2,FALSE,FALSE
"242","Rep",-0.22958443226341,2,FALSE,FALSE
"243","Rep",-0.234910130617621,2,FALSE,FALSE
"244","Rep",-0.226607194342562,2,FALSE,FALSE
"245","Rep",-0.225791289496931,2,FALSE,FALSE
"246","Rep",-0.354438795748906,2,FALSE,FALSE
"248","Rep",-0.139128086880121,2,FALSE,FALSE
"249","Rep",-0.435269091761026,2,FALSE,FALSE
"250","Rep",-0.289271816542915,2,FALSE,FALSE
"251","Rep",-0.385142268588213,2,FALSE,FALSE
"252","Rep",-0.265304876432916,2,FALSE,FALSE
"253","Rep",-0.303942259737477,2,FALSE,FALSE
"254","Rep",-0.167889295183692,2,FALSE,FALSE
"255","Rep",-0.344139562407205,2,FALSE,FALSE
"256","Rep",-0.395906460713701,2,FALSE,FALSE
"257","Rep",-0.12618422704713,2,FALSE,FALSE
"258","Rep",-0.145264655324993,2,FALSE,FALSE
"259","Rep",-0.245008962209224,2,FALSE,FALSE
"260","Rep",-0.284102626005981,2,FALSE,FALSE
"261","Rep",-0.183879609687029,2,FALSE,FALSE
"262","Rep",-0.304103470495265,2,FALSE,FALSE
"263","Rep",-0.408612031118006,2,FALSE,FALSE
"264","Rep",-0.347720912989136,2,FALSE,FALSE
"265","Rep",-0.126990835538538,2,FALSE,FALSE
"266","Rep",-0.300678959861249,2,FALSE,FALSE
"267","Rep",-0.330893562964446,2,FALSE,FALSE
"268","Rep",-0.202863847481775,2,FALSE,FALSE
"269","Rep",-0.385075499073914,2,FALSE,FALSE
"270","Rep",-0.221661792871007,2,FALSE,FALSE
"271","Rep",-0.226005232685531,2,FALSE,FALSE
"272","Rep",-0.214765246380402,2,FALSE,FALSE
"273","Rep",-0.286310079226897,2,FALSE,FALSE
"274","Rep",-0.259335678101933,2,FALSE,FALSE
"275","Rep",-0.23789526574879,2,FALSE,FALSE
"276","Rep",-0.247423487403669,2,FALSE,FALSE
"277","Rep",-0.311687587814301,2,FALSE,FALSE
"278","Rep",-0.218176770174426,2,FALSE,FALSE
"279","Rep",-0.238917501437161,2,FALSE,FALSE
"280","Rep",-0.315489278582257,2,FALSE,FALSE
"281","Rep",-0.411012960643835,2,FALSE,FALSE
"282","Rep",-0.425382857596384,2,FALSE,FALSE
"283","Rep",-0.14164617808629,2,FALSE,FALSE
"284","Rep",-0.305675433614769,2,FALSE,FALSE
"285","Rep",-0.263097005214899,2,FALSE,FALSE
"286","Rep",-0.245949593249534,2,FALSE,FALSE
"287","Rep",-0.278347030452617,2,FALSE,FALSE
"288","Rep",-0.343833462233423,2,FALSE,FALSE
"290","Rep",-0.175400972448943,2,FALSE,FALSE
"292","Rep",-0.379533510417417,2,FALSE,FALSE
"294","Rep",-0.355531516369229,2,FALSE,FALSE
"296","Rep",-0.251041429410777,2,FALSE,FALSE
"297","Rep",-0.259768115373331,2,FALSE,FALSE
"298","Rep",-0.31331710426024,2,FALSE,FALSE
"299","Rep",-0.247691412449023,2,FALSE,FALSE
"300","Rep",-0.232998561564243,2,FALSE,FALSE
"301","Rep",-0.341661050361056,2,FALSE,FALSE
"302","Rep",-0.255690305297892,2,FALSE,FALSE
"303","Rep",-0.380896482125277,2,FALSE,FALSE
"304","Rep",-0.358083793982113,2,FALSE,FALSE
"305","Rep",-0.271413216074569,2,FALSE,FALSE
"306","Rep",-0.278768308575906,2,FALSE,FALSE
"307","Rep",-0.247142975561552,2,FALSE,FALSE
"308","Rep",-0.314809345111376,2,FALSE,FALSE
"310","Rep",-0.275699526044869,2,FALSE,FALSE
"311","Rep",-0.193740698741115,2,FALSE,FALSE
"312","Rep",-0.197691804177112,2,FALSE,FALSE
"314","Rep",-0.288595771701668,2,FALSE,FALSE
"315","Rep",-0.368963872846242,2,FALSE,FALSE
"316","Rep",-0.359160358016457,2,FALSE,FALSE
"317","Rep",-0.23994438873204,2,FALSE,FALSE
"318","Rep",-0.334707033159522,2,FALSE,FALSE
"319","Rep",-0.298943701001369,2,FALSE,FALSE
"320","Rep",-0.311152674503761,2,FALSE,FALSE
"321","Rep",-0.327144312646168,2,FALSE,FALSE
"322","Rep",-0.194062118344084,2,FALSE,FALSE
"323","Rep",-0.382106645997215,2,FALSE,FALSE
"324","Rep",-0.288518163214261,2,FALSE,FALSE
"325","Rep",-0.239173984576286,2,FALSE,FALSE
"326","Rep",-0.362253161852095,2,FALSE,FALSE
"327","Rep",-0.218331321503016,2,FALSE,FALSE
"328","Rep",-0.239240499596867,2,FALSE,FALSE
"329","Rep",-0.415317060865944,2,FALSE,FALSE
"330","Rep",-0.178143691695818,2,FALSE,FALSE
"331","Rep",-0.294565845081387,2,FALSE,FALSE
"332","Rep",-0.298933189359352,2,FALSE,FALSE
"333","Rep",-0.160428791824678,2,FALSE,FALSE
"334","Rep",-0.336600567423861,2,FALSE,FALSE
"335","Rep",-0.293591815202364,2,FALSE,FALSE
"336","Rep",-0.163630598292849,2,FALSE,FALSE
"337","Rep",-0.242549033409095,2,FALSE,FALSE
