"","variable","value","QrtEstimate","Lower","Upper"
"107","Rep",-0.105393912105585,2,FALSE,FALSE
"108","Rep",-0.106640223086077,2,FALSE,FALSE
"109","Rep",-0.139079649186691,2,FALSE,FALSE
"110","Rep",-0.126189171967625,2,FALSE,FALSE
"111","Rep",-0.126574670823755,2,FALSE,FALSE
"112","Rep",-0.136190671359879,2,FALSE,FALSE
"113","Rep",-0.133145257702022,2,FALSE,FALSE
"114","Rep",-0.110428083390783,2,FALSE,FALSE
"116","Rep",-0.123075817951535,2,FALSE,FALSE
"117","Rep",-0.133663362427302,2,FALSE,FALSE
"119","Rep",-0.115591019706725,2,FALSE,FALSE
"120","Rep",-0.136030482523944,2,FALSE,FALSE
"121","Rep",-0.13638376706662,2,FALSE,FALSE
"122","Rep",-0.097670755933068,2,FALSE,FALSE
"123","Rep",-0.0878391553710729,2,FALSE,FALSE
"124","Rep",-0.0964232121897547,2,FALSE,FALSE
"125","Rep",-0.103434626770158,2,FALSE,FALSE
"126","Rep",-0.126621727359194,2,FALSE,FALSE
"127","Rep",-0.113804437340792,2,FALSE,FALSE
"128","Rep",-0.140447645279545,2,FALSE,FALSE
"129","Rep",-0.0880566099039118,2,FALSE,FALSE
"130","Rep",-0.115291159810306,2,FALSE,FALSE
"131","Rep",-0.127282316834926,2,FALSE,FALSE
"132","Rep",-0.123684954848785,2,FALSE,FALSE
"133","Rep",-0.095848220890115,2,FALSE,FALSE
"134","Rep",-0.118077492081309,2,FALSE,FALSE
"135","Rep",-0.0897318474332743,2,FALSE,FALSE
"136","Rep",-0.157053107507741,2,FALSE,FALSE
"137","Rep",-0.124394786909239,2,FALSE,FALSE
"138","Rep",-0.144113887144897,2,FALSE,FALSE
"139","Rep",-0.116723281482147,2,FALSE,FALSE
"140","Rep",-0.115701007587503,2,FALSE,FALSE
"141","Rep",-0.115901475118404,2,FALSE,FALSE
"142","Rep",-0.151107250974871,2,FALSE,FALSE
"143","Rep",-0.0971500799337794,2,FALSE,FALSE
"145","Rep",-0.0857778730130817,2,FALSE,FALSE
"146","Rep",-0.11342363034709,2,FALSE,FALSE
"147","Rep",-0.114100470634837,2,FALSE,FALSE
"148","Rep",-0.132154304642872,2,FALSE,FALSE
"149","Rep",-0.146942755633277,2,FALSE,FALSE
"150","Rep",-0.114150421063053,2,FALSE,FALSE
"151","Rep",-0.107205921550895,2,FALSE,FALSE
"152","Rep",-0.119907023507596,2,FALSE,FALSE
"153","Rep",-0.13388059588672,2,FALSE,FALSE
"154","Rep",-0.133026459079851,2,FALSE,FALSE
"155","Rep",-0.129797231223816,2,FALSE,FALSE
"156","Rep",-0.128821925389918,2,FALSE,FALSE
"157","Rep",-0.123845751364145,2,FALSE,FALSE
"158","Rep",-0.124245334309816,2,FALSE,FALSE
"159","Rep",-0.11654119234,2,FALSE,FALSE
"160","Rep",-0.0820883814607311,2,FALSE,FALSE
"161","Rep",-0.125736028119174,2,FALSE,FALSE
"162","Rep",-0.100217602856447,2,FALSE,FALSE
"163","Rep",-0.0960492899140455,2,FALSE,FALSE
"164","Rep",-0.100388889531235,2,FALSE,FALSE
"165","Rep",-0.105401965188419,2,FALSE,FALSE
"166","Rep",-0.110520770861202,2,FALSE,FALSE
"167","Rep",-0.103641881106613,2,FALSE,FALSE
"168","Rep",-0.131078469823931,2,FALSE,FALSE
"169","Rep",-0.140902031115119,2,FALSE,FALSE
"170","Rep",-0.107574601335001,2,FALSE,FALSE
"171","Rep",-0.104465258236378,2,FALSE,FALSE
"172","Rep",-0.133781568364841,2,FALSE,FALSE
"173","Rep",-0.107686849020782,2,FALSE,FALSE
"174","Rep",-0.110008540845912,2,FALSE,FALSE
"175","Rep",-0.108003114301292,2,FALSE,FALSE
"177","Rep",-0.11199715558439,2,FALSE,FALSE
"178","Rep",-0.107560958511757,2,FALSE,FALSE
"179","Rep",-0.122054593884717,2,FALSE,FALSE
"180","Rep",-0.12521710768244,2,FALSE,FALSE
"181","Rep",-0.122383761758114,2,FALSE,FALSE
"182","Rep",-0.0973256539940933,2,FALSE,FALSE
"183","Rep",-0.0945862966187406,2,FALSE,FALSE
"184","Rep",-0.135569395318985,2,FALSE,FALSE
"185","Rep",-0.116107501250986,2,FALSE,FALSE
"186","Rep",-0.131097216578414,2,FALSE,FALSE
"187","Rep",-0.138994586791454,2,FALSE,FALSE
"188","Rep",-0.0961640597541154,2,FALSE,FALSE
"189","Rep",-0.0827078943592198,2,FALSE,FALSE
"190","Rep",-0.125370529691911,2,FALSE,FALSE
"191","Rep",-0.105042720749879,2,FALSE,FALSE
"192","Rep",-0.12039269806001,2,FALSE,FALSE
"193","Rep",-0.11693423048244,2,FALSE,FALSE
"194","Rep",-0.120781156001061,2,FALSE,FALSE
"195","Rep",-0.100050430466234,2,FALSE,FALSE
"196","Rep",-0.12148241317629,2,FALSE,FALSE
"197","Rep",-0.12584391923087,2,FALSE,FALSE
"198","Rep",-0.113746227378311,2,FALSE,FALSE
"199","Rep",-0.108863317580621,2,FALSE,FALSE
"200","Rep",-0.121267514050589,2,FALSE,FALSE
"201","Rep",-0.127275291409176,2,FALSE,FALSE
"202","Rep",-0.125582694420914,2,FALSE,FALSE
"203","Rep",-0.123318532960448,2,FALSE,FALSE
"204","Rep",-0.113903914354399,2,FALSE,FALSE
"205","Rep",-0.0874349881598613,2,FALSE,FALSE
"206","Rep",-0.0993399333144542,2,FALSE,FALSE
"207","Rep",-0.113251118653171,2,FALSE,FALSE
"208","Rep",-0.132402263706352,2,FALSE,FALSE
"210","Rep",-0.125026961929422,2,FALSE,FALSE
"211","Rep",-0.105172665158697,2,FALSE,FALSE
"212","Rep",-0.137659875480916,2,FALSE,FALSE
"213","Rep",-0.0948248258264426,2,FALSE,FALSE
"214","Rep",-0.117277801500557,2,FALSE,FALSE
"215","Rep",-0.121918755419587,2,FALSE,FALSE
"216","Rep",-0.101928595287839,2,FALSE,FALSE
